id,landmark_id,label,split
1248fbcac99663e8,138982,0,test
6708df7e9df5f413,138982,0,test
77ba30ebf7991438,138982,0,test
b6840bf7734db821,138982,0,test
c29882d3090accc4,138982,0,test
d24f616a5399b285,138982,0,test
f438187dadf16780,138982,0,test
f6612221eec504a9,138982,0,test
016135e16d072209,138982,0,train
04f0b3d969749465,138982,0,train
12ba39223f886a86,138982,0,train
1387fc12ffd3244c,138982,0,train
1e4c682efe12ac0a,138982,0,train
1f71cc856275e659,138982,0,train
2a521e64152b75aa,138982,0,train
2ac3ad1e0d02cab9,138982,0,train
2dfca2a0261b11c0,138982,0,train
2f0547101544746c,138982,0,train
30a7c173e6543e85,138982,0,train
382be0b63803fbad,138982,0,train
39be920f8713508e,138982,0,train
3a6b554c469bda89,138982,0,train
3d452136edd12cf9,138982,0,train
3e73cf3db22c1e95,138982,0,train
4ddd0f853259ee3a,138982,0,train
4e58541305adcbcf,138982,0,train
50288c5a15f87c1a,138982,0,train
576e7cfc3d2ff72c,138982,0,train
5c6df747528a0e14,138982,0,train
5d92187a109a365f,138982,0,train
60692651b448e16b,138982,0,train
65c7721ba2aa511f,138982,0,train
695a9fd6f1b71992,138982,0,train
6aed4e84c22b0f7b,138982,0,train
6f410d50c463d0e2,138982,0,train
70ba423081b3fbc0,138982,0,train
714504f8ba589728,138982,0,train
71b556bd494b2b5e,138982,0,train
758f2dfa6a7b3f45,138982,0,train
7db4bee04db9e5b0,138982,0,train
7f08fc381a3a1694,138982,0,train
812c249e16b6a56f,138982,0,train
82c5afb4ba474e78,138982,0,train
83b8b3ac71f2a019,138982,0,train
849c51323f436dd0,138982,0,train
8fe5d93da16eaa0c,138982,0,train
9c8c445ae551d02b,138982,0,train
9d714ffb0760ded3,138982,0,train
ab61d8da0108a2b0,138982,0,train
ac5ec267cb5dca03,138982,0,train
ad9d9c4cf269fd0e,138982,0,train
b138b1cabf6fe324,138982,0,train
b37ec99b13cd3cdf,138982,0,train
b46b852a9cbbf2ee,138982,0,train
bda86c9affd778bf,138982,0,train
